file,chi,N,seed,L,dt,nsnap,t_window,dUdt,epr,epr_sem,a_tilde,a_tilde_sem,b_tilde,b_tilde_sem,Qs,Qs_sem,calib_dt,calib_n,epr_calib,epr_calib_sem,epr_at_calib_snaps,Qs_calib,a_tilde_calib,b_tilde_calib
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,0.25,4000,1,24.0,0.05,101,200000.0,-7.649539839713458e-07,-0.00019906846822202945,0.00012471604731399525,0.02989336600311732,2.939406055200653e-05,-0.008269615373667447,0.0004985918247917008,4.502472968470256,0.04161608508286871,0.0025,162,2.5850189468788184e-05,8.684002068782284e-05,-0.0008075900321454961,0.17839781461038992,0.03035388912360145,-0.0074850715230252085
bidisperse_a0.005_sr0.667_x0.5_N4000_L24_T400000_seed1_cont1.npz,0.5,4000,1,24.0,0.05,101,200000.0,-5.855170937224245e-07,-1.1988929698415213e-05,0.00026752051832657723,0.02821436948950112,3.131920466771681e-05,-0.01413116260414739,0.0005342746983407869,4.28261802754006,0.04089111270392594,0.0025,162,0.00039557770731285063,0.000185386074496802,-0.0016626157897364198,0.1884951442694182,0.02799488748197271,-0.013206288326360652
bidisperse_a0.005_sr0.667_x0.75_N4000_L24_T400000_seed1.npz,0.75,4000,1,24.0,0.05,101,200000.0,8.232013065628643e-07,0.0006669372783751971,0.0003678036983567866,0.027728996715669495,4.349781252771984e-05,-0.01990749783225186,0.0004877305134721515,4.56375161243417,0.04180594479608478,0.0025,162,0.0013299275862933835,0.00028637844024335057,0.0031385678391478433,0.1767364419732031,0.02790754011002559,-0.019157418300794683
