file,chi,t,n_edges,frac_LS,cyclic,cyclic_null_all,cyclic_null_LS,cv_w_LS,s_gap
bidisperse_a0.005_sr0.667_x8_N4000_L24_T800000_seed1.npz,8.0,100,7852,0.43988792664289356,0.06275374934526125,0.7453005335348453,0.7524868778087371,0.10553439670409512,-0.00031189423444162915
bidisperse_a0.005_sr0.667_x8_N4000_L24_T800000_seed1.npz,8.0,120,7742,0.446267114440713,0.06281948151060042,0.7427002706702663,0.7491011177109328,0.10799899886034751,-0.0003092922147652652
bidisperse_a0.005_sr0.667_x8_N4000_L24_T800000_seed1.npz,8.0,140,7776,0.452417695473251,0.06323848278597459,0.7371638293883688,0.743823471344296,0.10922990651518648,-0.0003193292494266283
bidisperse_a0.005_sr0.667_x8_N4000_L24_T800000_seed1.npz,8.0,160,7760,0.4496134020618557,0.06394076413168666,0.7361065374455956,0.7470586805356872,0.10969573922061887,-0.00031136182844022166
bidisperse_a0.005_sr0.667_x8_N4000_L24_T800000_seed1.npz,8.0,180,7967,0.4391866449102548,0.062191727626851684,0.7380709895144413,0.7507277588595257,0.10868082332352483,-0.0003137971582779084
bidisperse_a0.005_sr0.667_x8_N4000_L24_T800000_seed1.npz,8.0,200,7809,0.44615187604046613,0.06315192614347401,0.7425525484463262,0.7496162255111026,0.10916117475347657,-0.00031416715640433324
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,0.25,100,8798,0.4494203228006365,0.07836793725490082,0.7359147798241916,0.7421083074408084,0.12514398492207965,-0.00035382658326752804
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,0.25,120,8901,0.4475901584091675,0.08068684010928638,0.7465575390985864,0.7498477141762734,0.1275152205845993,-0.0003533669869014285
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,0.25,140,8875,0.45092957746478873,0.07731889892172127,0.7481578011202873,0.7448236541625989,0.12331150212721476,-0.0003546713539416877
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,0.25,160,8886,0.445869907720009,0.07859831056370854,0.7381228639813188,0.7495687040719793,0.1286118292295999,-0.0003539286267313566
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,0.25,180,8877,0.4473358116480793,0.07797795396345467,0.7394749648144732,0.7455564062915421,0.12584542251132447,-0.00035411649490719256
bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,0.25,200,8943,0.4511908755451191,0.07981587720598518,0.7407748714973801,0.7499975118025936,0.12694974905053472,-0.0003523375640245077
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed1.npz,0.0,100,8747,0.48222247627758086,0.07712566338711103,0.7246580661621433,0.7461949880800177,0.12401114708042707,-0.00035455289369269017
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed1.npz,0.0,120,8885,0.48103545301069217,0.0776117443242807,0.7377477783995148,0.7479646007001639,0.12496786774838958,-0.00035479073818710027
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed1.npz,0.0,140,8831,0.48476956177103386,0.07775932902863823,0.7369513605174245,0.7486190427481618,0.12403891031465275,-0.0003539551692748019
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed1.npz,0.0,160,8882,0.4871650529160099,0.07637624122988027,0.7368635126606432,0.7511645508572683,0.12362884609509786,-0.00035432904336463525
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed1.npz,0.0,180,8961,0.48666443477290483,0.0783319524413126,0.7534405383595727,0.7565872701089589,0.12635423932449838,-0.00035443996412411666
bidisperse_a0.005_sr0.667_x0_N4000_L24_T400000_seed1.npz,0.0,200,8887,0.4847530100146281,0.07682419383583108,0.7389458735675237,0.7448196184001065,0.12420605462524584,-0.0003547503700971475
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed1_cont2_dense500.npz,1.5,250,7864,0.3948372329603255,0.0700361539923157,0.7349665746544718,0.7475294099407476,0.11792764058436028,-0.00030033090781343843
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed1_cont2_dense500.npz,1.5,300,8047,0.396296756555238,0.07154024607084442,0.7356483183982473,0.734388755782068,0.11805986560816668,-0.00031162412547130304
bidisperse_a0.005_sr0.667_x1.5_N4000_L24_T400000_seed1_cont2_dense500.npz,1.5,350,7971,0.3976916321666039,0.07056889398905193,0.7365265357167401,0.7370774591567781,0.11852309412885018,-0.00030481670423480124
