N,fnet,fsum,v,zeta
64,0.0040440926002939795,0.006956019372149,0.00043675647834298377,8.455160440817266
57,0.00025049673714076304,0.006444616129093387,9.552462583300599e-05,8.052211339440218
3290,0.0034755926489358495,0.2970715374983237,9.862049443133993e-06,402.03272475011795
4,0.00024954173912041064,0.0002527928195646292,0.00018558269458569834,0.5030987634841375
4,0.000505223594759061,0.0005312325196807168,0.00022843676711511863,0.5620242404235276
18,0.0009326043875924449,0.0020340512607565074,0.00013108523408567768,2.3882821714170346
17,0.001835196073885201,0.0021328944451562792,0.0005435733080933935,2.236775629642421
13,0.0008376639328131637,0.0017902476863062245,0.0005349518005547558,1.7349378902429344
6,0.00030172088786445985,0.0003372746982224702,0.00024349843851205355,0.9586404543145461
15,0.00045347687509639077,0.0016571687833923663,0.00031436663331084957,2.055085045888818
7,0.000632606444071238,0.0007728079526848604,0.0002321583861840908,0.9378012899406649
5,0.0004943313373756518,0.0005602448526129173,0.00010029423387462546,0.7084576314962139
16,0.0006787837983493562,0.001999961877334022,0.0002623936301339687,2.1918263831458695
6,7.886035220088642e-05,0.000485829736881693,0.00012281996323709312,0.9402384278037499
5,0.0006314996341931806,0.0006604985847329144,0.0004229287457855332,0.6637409078061504
5,5.35901078353788e-05,0.0002529932392916146,0.00017101310326045024,0.7901573266780036
5,0.00010660588421957187,0.0005217678088366577,0.00014364515174372137,0.7201119660421731
7,0.0008267906832728478,0.0008522257849085004,0.0005960707829652713,0.944015124729563
51,0.0013716218904446208,0.006510477309724663,0.0003330147533876809,6.44263531033447
5,6.397478712111115e-05,0.0005718145385789731,0.00010746129270434776,0.6624781431809045
16,0.0017441184682232154,0.0022986031997010723,0.0006316283700936034,2.134509098919602
4,0.00025479519627790017,0.00040616372446028004,0.0003021905549981056,0.5723415362866038
11,0.001112292015818083,0.001405893438349235,0.0006756225356533228,1.4374681497501511
10,0.00036589921130882644,0.0010869036339717737,0.00017457122240141886,1.3376997449990347
4,0.00033320406184115137,0.0004810471282277418,0.00032472800055655137,0.5466867719007158
5,0.0003718794395512618,0.00041327699401808797,0.00030835851389176736,0.7921288007423508
8,0.0005622203163373931,0.0010477787552501275,0.0001751211763271223,1.1022476911945873
8,0.00062772612847448,0.00125946670151435,0.0003526061172141652,1.1041586285911227
6,0.0007151878142567991,0.0007952207652349695,0.00027928139304018355,0.7657479940555819
7,0.0006011025290094154,0.0007665369639407026,0.00024297945860961997,1.0082575836448244
4,0.00034100365335532285,0.0004193274767210477,0.0001897888946835439,0.561883938248282
14,0.0006210057104755171,0.0018376232613425665,0.000161667789839953,1.9057245751862153
5,0.00022620064521700897,0.00048203884800373934,0.0003674769844887223,0.7390710932192547
4,0.00021179940431474478,0.00041051430601764455,0.00028542988096620143,0.5485592243013957
7,0.00011318291483218772,0.00045645981452513933,0.0003198463723428566,1.0816555268737011
7,0.0006547173374283718,0.0008110686089685295,0.0002442129145306884,0.9586035276536441
7,0.0001356530308192195,0.0007912046167244511,9.1606278580837e-05,1.0341409667634152
4,0.000346917126682117,0.000455671418378486,0.0003033254319565818,0.6090175486637159
4,0.0004747209842433917,0.0004954173958841433,0.0005608400065837965,0.5614835784452767
5,0.00026939730415198696,0.0004884468283624515,0.00022963608573198008,0.5964164539529785
4,8.181454703112136e-05,0.0003219237912651308,0.00010756902202767371,0.604823949428786
10,1.0277183798532612e-06,4.2856506489294554e-05,9.33119324313639e-05,1.1273826062646033
7,0.0,0.0,2.3624615855233387e-05,0.7788696315922333
70,0.003404150522178086,0.008300963060200015,0.00018517110193357495,9.488378132777363
3202,0.0007618052260661795,0.28563994169289,3.817074667287048e-06,390.8109591512489
28,0.000328256791157484,0.003095322459310855,0.0003299204872174075,3.7314887251578317
14,0.00018147390604852603,0.00156369359437637,0.00011426316119169182,1.9531160618396377
9,0.0008179765704788737,0.0010262001421695907,0.00036481223880179735,1.2352109700173182
12,0.0008527825664466219,0.0017417095975649167,0.00014971588929783115,1.6709164380175958
5,0.0003287821836092317,0.00039258032543903576,0.000320418190460469,0.7695308561358478
54,0.0031255434939562424,0.005696325911353943,0.00041107946888938577,6.98315306893163
4,0.0003345107992085284,0.0004072133877196534,0.00033684787480967645,0.6184436955364896
70,0.0005669681863131005,0.008651425590103413,6.454733505208272e-05,9.679520135255222
11,0.0009143889281860289,0.0014893298883914264,0.000366086692260722,1.5095700884669159
5,0.0001900845117459528,0.00047797738581271146,0.0001085365911144304,0.719781122136563
16,0.0008362088913003315,0.0014107756935339529,0.00030333246205221237,1.9790838585022814
67,0.0032116286303926767,0.006933116011446556,0.00025791729238841207,8.82491697936068
5,0.00017477955307994137,0.0002880616326979232,0.0002102394156162103,0.7371791635504075
18,0.000811055068895336,0.0017991736848647637,0.00019081134303864338,2.5237635207901423
8,0.0008249451122861086,0.0011190474829241895,0.0005325550032514692,1.0410490731672297
11,0.0005185580160445998,0.0013394579236134028,0.00028141748100909026,1.604156331842306
4,0.00016143905848781183,0.00019952059452684254,0.00028762293470080305,0.5607688555468935
21,0.0004868074277582211,0.0026294936769772933,7.980965074938924e-05,2.8062878924435473
6,0.0004609450291275307,0.0006757970145213942,0.0003728923869023359,0.8482390141063588
9,0.0006549637974693207,0.0007861100826041896,0.0003991023263433562,1.1180837970856274
8,0.0004947595961383122,0.0009215939307364135,0.0003885995405853157,1.1273130597427161
5,0.00038955255790883717,0.00047926317179557045,0.0006046370669854063,0.669267385517115
9,0.0002456358450462847,0.0006836912195434258,0.00027481030425075096,1.1551363383409607
23,0.0016263890614259583,0.002721819605656141,0.0004088086066524448,3.1732474135019775
6,0.0005915486068951836,0.0007098772599098643,0.00048261665402410094,0.7797257471928345
8,0.0005802599678113465,0.0008652422337290684,0.0003134727174958351,1.0598538773483106
5,0.0003666015062221343,0.0005868101906452153,0.00023900643716297297,0.7237021018531984
13,0.0005485309019433875,0.0007799073756412811,0.00038583420601450693,1.4908374249083431
13,0.0005486252959784277,0.0015527931776333247,0.0003767408233061507,1.6665033969669745
6,0.00037284190663666625,0.000735652736095737,0.00010579532850348921,0.8321987086528196
6,0.0005570941347489988,0.0007363387202319756,0.00037308078569443256,0.7689216113056945
5,0.0003778847788705651,0.0004102327261773406,0.0007049917352597138,0.616581835772514
3231,0.00429331745846074,0.29198411611577574,1.2935177726142552e-05,394.75143010810575
39,0.0007984675838285663,0.004458043474926592,0.00021796207660361455,5.235116811250073
8,6.0158852573621926e-05,0.00047115662209424165,4.4289802677007796e-05,1.2655258702607273
8,0.0007949903382438592,0.001021575493053797,0.0003166393474375861,1.1200074206613686
4,0.00042526595002735857,0.00046101330448647767,0.00021398157927469402,0.5417363057632647
10,0.0009210357021975111,0.0014914133359287577,0.0003285492846816467,1.3879858049057794
5,0.0006425866045096031,0.0006578165083039989,0.0005771025923085208,0.6767247956675353
72,0.0029667878507901205,0.008350212819295542,0.0002996689441160284,9.374926632991588
7,0.0008513897470754552,0.0010252290126254477,0.0004343790920895413,0.9937159285555812
5,0.0002930985710967822,0.00037300467177976004,0.00024123140161655315,0.6240327516944134
5,0.00023626230947404936,0.0005620651075606605,0.0002714722261754717,0.7366809846944946
8,0.000998182493662547,0.0010829219512353905,0.000231926745090584,1.0498812451697088
19,0.0011238768670914817,0.002050872305856019,0.0003807081699165866,2.6696250996436905
13,0.0008778623436039755,0.001377405314130324,0.0006005573985261648,1.9023769039839429
50,0.002309692287282228,0.005404204589793763,0.00026946869981316795,6.58264153236571
8,0.0003686845426866801,0.0008252258669873499,0.00018433390224532794,1.1783645055077399
33,0.0013108804744124737,0.0037584959662994356,0.0003257828951725744,4.461414585843513
5,0.0003883350139975094,0.0005607907800633227,0.0005386989816948714,0.6682919205585577
5,4.899464249956293e-05,0.00034315554189760707,0.00014387375050682507,0.7790079003770112
15,0.0006734292945674518,0.0017510297997695803,0.00033460018877034804,1.9478629110753756
21,0.001086463233569768,0.0025883224628079626,0.00011208235407767807,2.768786518890197
4,0.0004697513981142937,0.0004988383644916954,0.0004602861496936331,0.5587472934168803
23,0.0012232440053024922,0.002740537926356502,0.00021329198609584474,3.1940926664571148
7,0.0006525129821565057,0.0007542767808295834,0.00035027987766598367,0.997179476324566
5,0.00033675814227207974,0.0005662492676342909,0.0002890021646925797,0.7226441149875515
9,0.0012575798616132768,0.0013101544994406661,0.0006205672110313619,1.145088209181808
7,0.0005777338829193798,0.0008135908840828965,0.0005899234036216392,0.8885575045358438
9,0.0008954074283936839,0.0011481184238876898,0.0006514639032659668,1.2285618578004158
6,0.0007540731130474485,0.000803039496117595,0.00036407861268710265,0.8481034788511104
11,0.001362025750402529,0.001606063498642349,0.0004052599915728031,1.4407873817499222
4,0.0004724868463100353,0.0005059190376918904,0.00039276709524259466,0.5579877340726938
4,0.0004256776190485934,0.0005198747430089176,0.00034868829449061174,0.548046810707783
4,0.0003697408680188019,0.000394326193928744,0.0006159246457540253,0.49679104748393005
9,0.0002917682562888698,0.0008669563637369141,7.808220811151919e-05,1.3384543401528874
6,0.00019762067173293986,0.0006279680866713345,0.00034691883505508827,0.8430563933869524
4,0.00024250514319034254,0.00038010037470967764,0.0003485093403333952,0.49438403038265416
11,0.0007665618431482376,0.0013140641804731685,0.0004888310279042264,1.430380678521568
4,0.0003969635847326768,0.0004163214827637901,0.000268513457118699,0.6303169742429826
6,0.0006139717500276298,0.0007627467122150377,0.0004058772745749846,0.814824389073256
8,0.0005391184761981497,0.0011303370821683645,0.0002658912288111069,1.0621031489142458
5,0.00045802892140867763,0.0006411827508152206,0.00033344384195208417,0.6751922804521131
4,0.00040675952044114664,0.0004982790342905448,0.00014364286456818774,0.5445756317036842
4,0.00032650551062455294,0.0004423801849691108,0.00017717282115038368,0.6188442102393038
4,0.0004355826617721349,0.0004627998070463712,0.0005095313678871627,0.507950172411317
5,0.0003581054637908135,0.00043769448350942616,0.0005923555354871359,0.7417950701105351
4,0.00020624269059351888,0.00030239361017055083,0.0004340820766580606,0.5183919358335599
5,6.696467049707344e-05,6.702239224255546e-05,0.00023624360120479634,0.5459147352989616
8,6.258063042601466e-05,6.633834217305314e-05,0.0003246069120013771,0.8897782424049169
115,0.0031927755045456046,0.012597013727586396,0.00025215717257651713,15.045962244055884
26,0.002796887267984622,0.0034529277264540702,0.0006541565103153278,3.5542338618012255
3144,0.003066241373481467,0.2816525491059929,2.321797755265993e-06,383.24596955077095
11,0.0006530518535542183,0.00121133742287545,0.00017570818370864295,1.6188098163586881
41,0.0013240648613741333,0.004740991962062724,0.00029739848775746835,5.4845467575779425
14,0.0005742310575904842,0.0017457719420478574,0.00032620272228392944,1.9556716161229983
15,0.0007779492934380929,0.00195472661572829,0.00029290322927333633,1.9322885729708943
6,0.0005763756503262627,0.0006921594456404703,0.0005025245605581398,0.8315700381061248
57,0.0015666822048184372,0.006790986076690615,0.00011981689739436958,7.623732623957227
49,0.0007989044948182864,0.0060495114398385515,0.0001060606408721089,6.5383235687199175
7,0.0006585441042863444,0.0006863188547509118,0.00014580824862246475,0.9565535488192198
37,0.0015353666158830072,0.003661510779708818,0.00026687417150449605,4.784680576194443
4,0.0004383654577506411,0.0005256387595424706,0.00018448939092307308,0.5505743068515809
8,0.0002059202082336471,0.0007477024922564956,0.00013082682295514157,1.0471888181307998
14,0.00046910167923962487,0.0013701076104414174,0.00029497228527745846,1.9851217055561476
4,0.0004841024701844439,0.0005500585048397394,0.0004083273076041431,0.5501496624448674
17,0.0011192183859135205,0.001971307227604126,0.000397818804622926,2.373451095610394
9,0.000560592853694065,0.001115905859194068,6.701186798787423e-05,1.2454504154870125
4,0.00015405513653715783,0.0003217252521963449,0.00027580575709070567,0.503013894838206
11,0.0009343676596757997,0.0012985529684824686,0.0002182969494518079,1.570983531662356
6,0.0002888478908741198,0.0007850589496496753,0.00011626405292369895,0.8727847918188564
17,0.000360758867765554,0.0022070953435338755,0.0003377822344739873,2.319320697590192
4,0.0005432409892796444,0.0005556131678757772,0.0005307426074763128,0.5465544555970401
8,0.0008803296865068216,0.0010670732579808298,0.00045129071172561407,1.122677627594182
4,0.0004385621915051695,0.0004728370701510235,0.0006308542103627216,0.5545441661846617
4,0.00043036115772142835,0.0004628501383883941,0.00037828698166248733,0.563795838033707
5,0.00028838849483418257,0.00040765946497092477,0.00020338187792200233,0.7744696033317457
4,0.00038233070448601944,0.0004629815189269638,0.000290419388674725,0.6139249646706091
4,0.0003233976642749163,0.00043387729338179677,0.00013127181990766376,0.5608287826213081
7,0.00017471060620639908,0.0006522364495229332,0.00033461533522471763,1.1286224666983022
7,0.0008511228992883116,0.0008831621024683043,0.0004891917298872121,0.9446190872252943
8,0.0011418725534098945,0.0011795604693923248,0.0006516499648717474,1.061382626850706
7,0.0006782380607233485,0.0008931654208788787,0.00046865529993481175,0.9629338281259874
4,9.997327853393427e-05,0.0001011924250252243,8.762636885510338e-05,0.6882832045537691
9,0.0003449319140794995,0.0010777952052650295,0.0002359665804393089,1.1722876245280438
