t,Q,n_cl,lcf,nullQ,ARI,edge_jac,sigv2,file,case,seed,alpha,s_ratio,chi,ari_floor
0.0,0.9968316317670646,776,0.007,0.8773346289697828,,,,bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.25,0.7403247910709947
2000.0,0.9764932394203585,59,0.141,,0.1249739541989141,0.797610681658468,8.829565523307734e-09,bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.25,0.7403247910709947
4000.0,0.9702247237754069,39,0.11275,,0.764818902481974,0.53086038124678,4.551613077247613e-09,bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.25,0.7403247910709947
6000.0,0.9657415558532806,27,0.114,,0.7481522824410388,0.4681975208290998,3.1905594610168915e-09,bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.25,0.7403247910709947
8000.0,0.9637170697843759,23,0.1645,,0.770361294158658,0.4365087382563896,2.518614337509437e-09,bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.25,0.7403247910709947
10000.0,0.9581692343707294,17,0.43225,,0.7711916340187697,0.40796370967741935,2.164391788015557e-09,bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.25,0.7403247910709947
12000.0,0.9565322286609967,15,0.42075,,0.7447040221103719,0.40549417736637805,1.8498851437879104e-09,bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.25,0.7403247910709947
14000.0,0.9526193453731201,13,0.4895,,0.7901683542135208,0.39041368337311055,1.4968326299569866e-09,bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.25,0.7403247910709947
16000.0,0.9519388736473099,13,0.489,,0.7359589285410174,0.36749648664926726,1.292766937503917e-09,bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.25,0.7403247910709947
18000.0,0.9497740535931043,11,0.49,,0.7701222108373312,0.37523620089507703,1.361043411390582e-09,bidisperse_a0.005_sr0.667_x0.25_N4000_L24_T400000_seed1.npz,bidisperse,1,0.005,0.6666666666666666,0.25,0.7403247910709947
