chi,species,t,Teff,sem,msd,chi_resp,omega,Ct,Rt,Teff_w
0.0,L,1.0,1.0047249691694173,0.014490418946944647,2.5708851814597826e-05,3.7851996363762908,,,,
0.0,L,2.0,1.0308953953461852,0.012226987774814067,4.44744056732764e-05,6.381883286490601,,,,
0.0,L,5.0,1.0445347458651415,0.017469437318445528,8.432790326956382e-05,11.942677783733776,,,,
0.0,L,10.0,1.004400034685888,0.015703803420592483,0.00012518812114785288,18.437825759647808,,,,
0.0,L,20.0,1.0117506022133023,0.013295629030937879,0.00018981511806410317,27.75304449091749,,,,
0.0,L,50.0,1.0218697161761958,0.029472820234517715,0.0003083402089453687,44.636274294595545,,,,
0.0,L,100.0,1.0321561904710725,0.026279860982672626,0.0004354125876009985,62.40348765958154,,,,
0.0,L,200.0,0.9780076032981502,0.04438095992310808,0.000574969914820712,86.96734139948698,,,,
0.0,L,400.0,0.9738175310713822,0.043465835725675805,0.0007873703876555976,119.60650296402473,,,,
0.0,L,800.0,1.0119481966956143,0.05823359356238402,0.0010913894969220904,159.5419122831089,,,,
0.0,S,1.0,1.0442741424964956,0.006396178707292204,3.8865260647491025e-05,5.505545601853335,,,,
0.0,S,2.0,1.0231207871527566,0.006732959483904265,6.327991513914662e-05,9.14939302350801,,,,
0.0,S,5.0,0.994236518041405,0.009285262312483422,0.00011458372714615276,17.048514299579487,,,,
0.0,S,10.0,0.9905804395497311,0.011055736268656276,0.00017514313665777546,26.15511773892384,,,,
0.0,S,20.0,0.9958788155224573,0.010428217299793215,0.0002606801892467998,38.72173759652983,,,,
0.0,S,50.0,0.995055640741868,0.013211507785464895,0.0004231614394126749,62.90889022074549,,,,
0.0,S,100.0,0.996644894765372,0.018966041649770612,0.0005881234781998785,87.29339304656823,,,,
0.0,S,200.0,1.004277700784624,0.027152498793576712,0.0008077307996053384,118.97785302012885,,,,
0.0,S,400.0,0.9777776240880529,0.03774835624009624,0.0011110967462862936,168.09898279288765,,,,
0.0,S,800.0,0.98977720225443,0.029644608524033035,0.0015480683792032754,231.3694411079455,,,,
0.0,all,1.0,1.0369003506267418,0.0050412603804695895,3.557615843926777e-05,5.075459110484075,,,,
0.0,all,2.0,1.0245874306831486,0.00480106119574775,5.857853777267911e-05,8.457515589253658,,,,
0.0,all,5.0,1.003758034443258,0.009048430859534115,0.0001070197711770058,15.77205517061806,,,,
0.0,all,10.0,0.993209902172948,0.007946225030871407,0.0001626543827802949,24.22579474410483,,,,
0.0,all,20.0,0.9989395140780476,0.008513141644094021,0.00024296392145112594,35.97956432012675,,,,
0.0,all,50.0,1.0001844773969955,0.012972376678799314,0.0003944561317958491,58.340736239208006,,,,
0.0,all,100.0,1.0034785066004033,0.016768306141814255,0.0005499457555501593,81.07091669982155,,,,
0.0,all,200.0,0.9991309652534802,0.02704155391956741,0.0007495405784091826,110.97522511496838,,,,
0.0,all,400.0,0.9770184475261733,0.03419867880341924,0.0010301651566286213,155.9758628356719,,,,
0.0,all,800.0,0.9939208230288696,0.027521651322469278,0.0014338986586329818,213.41255890173636,,,,
0.0,all,,,,,,0.0031384541993904028,-3.708367494818042e-05,126.2382641959347,-0.043455530436198854
0.0,all,,,,,,0.0062769083987808056,-3.6358338696643844e-05,71.6030928722212,-0.07511480655613312
0.0,all,,,,,,0.009415362598171209,-3.5523632710760194e-05,56.90486100608139,-0.09234668462698535
0.0,all,,,,,,0.012553816797561611,-3.445710078652814e-05,51.3201503037363,-0.09932169388036761
0.0,all,,,,,,0.015692270996952015,-3.421663106242013e-05,44.53412713933116,-0.11365737107929526
0.0,all,,,,,,0.018830725196342418,-3.452666743940949e-05,41.233220373487946,-0.12386845211412607
0.0,all,,,,,,0.02196917939573282,-3.379561045506542e-05,43.4401685442339,-0.1150858946125554
