case,alpha,s_ratio,chi,Q,Q_sem,dQ_null,ARI,ARI_sem,edge_jac,edge_jac_sem,n_cl,sigv2,sigv2_sem,n_seeds
bidisperse,0.005,0.6666666666666666,0.0,0.9301626069433838,0.0013954434171096974,0.4402481607486229,0.7247669538480571,0.005815553634539854,0.2595973425760089,0.001814495198879517,11.05940594059406,4.1931839203268657e-10,2.1019126815886493e-12,3
bidisperse,0.005,0.6666666666666666,0.25,0.9105941898426333,0.0015177420199309764,0.4226347915022606,0.5476121119167806,0.012911301469027515,0.2887665097204413,0.0006183425689376167,2.1914191419141917,4.2815527377562757e-10,7.675613888403636e-12,3
bidisperse,0.005,0.6666666666666666,0.5,0.9104231008182748,0.0019607775318539323,0.40926967181085255,0.5334961138012411,0.008194137791918726,0.3522600910116666,0.00500060138943855,17.27062706270627,3.6540374352071825e-09,3.922280976303757e-11,3
bidisperse,0.005,0.6666666666666666,0.75,0.9093710702506494,0.002118536483254531,0.39489509920812543,0.5113961075067529,0.008978075421923932,0.38358601149949584,0.010281036958079684,56.491749174917494,1.3699614954694512e-08,6.53206206606758e-10,3
bidisperse,0.005,0.6666666666666666,1.0,0.9057210984487768,0.003567647264612574,0.38941245889933535,0.4894726334282555,0.013752115422246811,0.37829088341044503,0.014166738016182852,95.1980198019802,2.7609660523775017e-08,9.46163694718081e-10,3
bidisperse,0.005,0.6666666666666666,1.5,0.9012883244976407,0.000407504374577584,0.3830244647978048,0.4824472592340005,0.004254609713287494,0.3486914594775213,0.005474791356814436,137.2739273927393,5.570860996011246e-08,2.997638981081697e-10,3
monodisperse,0.005,0.6666666666666666,1.0,0.9355506220789841,0.0021549610433133914,0.4619782852691379,0.8304807504017705,0.02303015197096362,0.14824170232424586,0.0003484549580199913,11.161716171617163,3.065766477369369e-10,9.75635591370198e-12,3
