case,alpha,s_ratio,Q,Q_sem,dQ_null,ARI,ARI_sem,edge_jac,edge_jac_sem,n_cl,sigv2,n_seeds
bidisperse,0.003,0.6666666666666666,0.8900291399894978,0.0023127839426154086,0.2450071802902631,0.45504015544759313,0.008174392341320145,0.6012582506213996,0.006094519420384372,40.15032679738562,1.9589351186539198e-08,3
bidisperse,0.005,0.6666666666666666,0.8585823661618571,0.0022772101832662017,0.32296976988891635,0.49343341453385764,0.006601473756728579,0.3982961890064519,0.008253135483840672,21.92549019607843,3.5165272834403155e-08,5
bidisperse,0.005,0.8,0.8619438309905479,0.006590675051516796,0.3142932287883138,0.4816693139126442,0.015215262655924586,0.3932868688193038,0.016125341434001593,15.65359477124183,1.494781212260271e-08,3
bidisperse,0.005,1.0,0.8798985465858177,0.0017421292422588254,0.33979246539806685,0.5217207670169842,0.010401913838600854,0.3869234452593581,0.007186317193697009,7.516339869281047,4.380146926347194e-09,3
bidisperse,0.005,1.25,0.7959738992848676,0.0005427541988091329,0.3569253642796783,0.4500665717251982,0.006154418529075756,0.02449926537841253,0.0023767947899070918,1.0,5.73227666694241e-11,3
bidisperse,0.005,1.5,0.7715569611729526,9.375856951870554e-05,0.378642357622124,0.41500896825532624,0.007132706955212843,0.0007870334485139211,0.00018471767501924315,1.0,9.301336797166789e-12,3
bidisperse,0.01,0.6666666666666666,0.8427396123495031,0.0007739720661963472,0.36207851628368387,0.4975948477559746,0.006836710760737152,0.2743462313077237,0.012065790361416808,11.928104575163397,7.376642787610721e-08,3
bidisperse,0.015,0.6666666666666666,0.841249743522503,0.00027950881827297296,0.3706806575301922,0.48587573528823774,0.002200019137027171,0.28163432593987103,0.0056418172748312085,9.143790849673202,1.4202748418322322e-07,3
monodisperse,0.005,0.6666666666666666,0.8752920109034641,0.0012385797174922894,0.3913397838060787,0.7797634119292598,0.012668999870719348,0.16392066196437488,0.0012238281248135756,5.435294117647059,1.1810869342678697e-09,5
