file,chi,seed,N,epr,bias,epr_net
bidisperse_a0.005_sr0.667_x2_N4000_L24_T800000_seed1.npz,2.0,1,4000,0.010431600346061571,0.0005655204793978336,0.009866079866663737
bidisperse_a0.005_sr0.667_x2_N4000_L24_T800000_seed2.npz,2.0,2,4000,0.016298623516479656,0.0018323106321794062,0.01446631288430025
bidisperse_a0.005_sr0.667_x3_N4000_L24_T800000_seed1.npz,3.0,1,4000,0.027812565771058874,0.0008671694777458275,0.026945396293313047
bidisperse_a0.005_sr0.667_x3_N4000_L24_T800000_seed2.npz,3.0,2,4000,0.027321693799013266,0.00162438648459114,0.025697307314422126
bidisperse_a0.005_sr0.667_x5_N4000_L24_T800000_seed1.npz,5.0,1,4000,0.07174754845211101,0.000434907371092854,0.07131264108101816
bidisperse_a0.005_sr0.667_x5_N4000_L24_T800000_seed2.npz,5.0,2,4000,0.07491689513293928,0.0011558562459209067,0.07376103888701838
bidisperse_a0.005_sr0.667_x8_N4000_L24_T800000_seed1.npz,8.0,1,4000,0.19063900569985437,0.0012729952262400424,0.18936601047361432
bidisperse_a0.005_sr0.667_x8_N4000_L24_T800000_seed2.npz,8.0,2,4000,0.18741195012316314,0.001472500791686689,0.18593944933147646
