t,Q,n_cl,lcf,nullQ,ARI,edge_jac,sigv2,file,case,seed,alpha,s_ratio,chi,ari_floor
0.0,0.9878905834838984,199,0.026,0.8863117538172672,,,,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
1000.0,0.958861847059946,89,0.058,,0.20691826132727079,0.8297872340425532,2.5277138488470493e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
2000.0,0.9512046749521907,61,0.132,,0.48263337052788424,0.7546948356807512,2.0467075179580224e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
3000.0,0.950416277340249,58,0.114,,0.559137656736068,0.748314606741573,2.230556322175088e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
4000.0,0.9305559583538761,49,0.159,0.7182623021091148,0.5291660838841474,0.7189901207464324,1.8477984973438758e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
5000.0,0.9345767245332827,50,0.233,,0.4959463545465542,0.7128980032379925,2.0037416120573413e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
6000.0,0.9338126649787938,47,0.191,,0.48815259026473545,0.6901790558871406,1.9028128626649375e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
7000.0,0.9233929167574292,44,0.157,,0.4842552887900312,0.6923884514435695,2.0178908306521406e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
8000.0,0.9225154022010994,45,0.176,0.6876289488918458,0.46486467930652625,0.6856118791602663,2.1796256314862645e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
9000.0,0.9202755511817273,42,0.203,,0.4904024977777646,0.6847265221878225,2.1694704042622997e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
10000.0,0.9170057858287806,43,0.301,,0.4722216137457937,0.6506087877183695,1.9480094573244158e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
11000.0,0.91602488211795,36,0.31,,0.5058317473593742,0.6554925219185147,1.8670664167532844e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
12000.0,0.913301177450845,37,0.187,0.6713079138732748,0.45662384096539843,0.6823411705852926,2.1755224368803883e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
13000.0,0.9138770296912222,35,0.466,,0.4698638729185409,0.6532586558044806,1.8847593796316668e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
14000.0,0.9141812744271935,47,0.213,,0.4779537525210517,0.6538461538461539,2.364874633611627e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
15000.0,0.9066774819602612,34,0.359,,0.4694770723711367,0.6391545042778057,2.033431648115611e-08,bidisperse_a0.003_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.003,0.6666666666666666,1.0,0.8959091785425531
