case,alpha,s_ratio,Q,Q_sem,dQ_null,ARI,ARI_sem,edge_jac,edge_jac_sem,n_cl,sigv2,n_seeds
bidisperse,0.005,0.6666666666666666,0.8585823661618571,0.0022772101832662017,0.32296976988891635,0.49343341453385764,0.006601473756728579,0.3982961890064519,0.008253135483840672,21.92549019607843,3.5165272834403155e-08,5
monodisperse,0.005,0.6666666666666666,0.8752920109034641,0.0012385797174922894,0.3913397838060787,0.7797634119292598,0.012668999870719348,0.16392066196437488,0.0012238281248135756,5.435294117647059,1.1810869342678697e-09,5
